authors,docId,docLabel,docTitle,docType,doi,href,publicationDate,publisher,resolvedHref,status.active,referencedBy,docDependancy,currentStatus,details,abstract,abbrevTitle,articleType,copyright.holder,copyright.year,issn.print,number,pages,publisherLocation.city,volume,docTypeAbr,references.bibliographic,references.normative,referencesResolved.bibliographic,referencesResolved.normative,referenceTree,contentType,journalAcronym,keywords,publisherLocation.country,revisionOf,status.stabilized,status.latestVersion,msiLatestAny,msiLatestBase,isLatestAny,docBase,docBaseLabel,isLatestBase,__isNewestInBase,docVersion,status.superseded,status.supersededBy,status.amended,status.amendedBy,status.reaffirmed,docSuiteTitle,group,status.draft,status.unknown,status.withdrawn,status.stabilizedDate,status.statusNote,status.supersededDate,status.versionless,status.amendedDate,docNumber,docPart,status.withdrawnDate,isbn,status.errataExist,repo,relatedDocs,status.reaffirmDate,issn,status.errataUrl,status.supersedes,status.amends,releaseTag,status.state,status.stage,approvalDate,icsCodes,productNumber,standardId,familyId,status.withdrawnNotice,depositDate,currentWork,docElement,status.supersededByr,xmlNamespace
undefined,10.5594-J01094,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 3, March 1953)","73d Convention, Los Angeles Statler, April 27 – May 1",Journal Article,10.5594/J01094,https://doi.org/10.5594/J01094,1953-03-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPTE,other,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,3,310–311,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J01095,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 3, March 1953)",The Seventy-Fifth Semiannual Convention,Journal Article,10.5594/J01095,https://doi.org/10.5594/J01095,1953-03-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPTE,other,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,3,311–311,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J01096,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 3, March 1953)",1953 Nominations,Journal Article,10.5594/J01096,https://doi.org/10.5594/J01096,1953-03-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPTE,other,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,3,312–312,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J01097,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 3, March 1953)",Pacific Coast Section Meeting,Journal Article,10.5594/J01097,https://doi.org/10.5594/J01097,1953-03-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPTE,other,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,3,312–312,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J01098,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 3, March 1953)",Book Reviews,Journal Article,10.5594/J01098,https://doi.org/10.5594/J01098,1953-03-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPTE,book-review,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,3,313–315,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J01099,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 3, March 1953)",Journals Available and Wanted,Journal Article,10.5594/J01099,https://doi.org/10.5594/J01099,1953-03-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPTE,other,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,3,315–315,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J01100,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 3, March 1953)",New Members,Journal Article,10.5594/J01100,https://doi.org/10.5594/J01100,1953-03-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPTE,other,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,3,316–316,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J01101,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 3, March 1953)",Meetings,Journal Article,10.5594/J01101,https://doi.org/10.5594/J01101,1953-03-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPTE,other,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,3,316–317,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J01102,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 3, March 1953)",Employment Service,Journal Article,10.5594/J01102,https://doi.org/10.5594/J01102,1953-03-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPTE,other,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,3,317–317,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J01103,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 3, March 1953)",New Products,Journal Article,10.5594/J01103,https://doi.org/10.5594/J01103,1953-03-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPTE,other,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,3,318–320,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""F. Dana Miller""]",10.5594-J01104,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 2, February 1953)",Rapid Drying of Normally Processed Black-and-White Motion Picture Film,Journal Article,10.5594/J01104,https://doi.org/10.5594/J01104,1953-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,"The introduction of rapid drying technique for rapidly processed film suggests its possible application for the drying of normally processed motion picture films. Consideration of the drying process seems to indicate that hot impinged air should be the most satisfactory method of commercial practice. Experiments were made on a laboratory machine in which the film passes between two parallel air chambers. Small holes in the sides of the chambers facing the film permit hot air to impinge on both sides of the film. Air temperatures ranging from 125 F to 210 F and air velocities of 2,000 to 6,000 fpm were used. Eastman Fine Grain Release Positive Safety Film was dried in 10 sec on laboratory equipment of this type and Eastman Plus X Panchromatic Negative Safety Film was dried in 16 sec. The physical properties of several films dried in this equipment were quite similar to the properties of conventionally dried films, but this is not true for all types of film. Rapid driers can be extremely compact and their power requirements should be no greater than for conventional driers.",J SMPTE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,2,85–104,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""Leonhard Katz"",""William F. Esthimer""]",10.5594-J01105,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 2, February 1953)",Further Experiments in High-Speed Processing Using Turbulent Fluids,Journal Article,10.5594/J01105,https://doi.org/10.5594/J01105,1953-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,The results of an investigation into the effects of turbulence in the rapid processing of photographic film under fixed conditions are described. For test purposes a turbulent processing machine was constructed permitting rapid switching of fluids and evaluation of resulting reactions.,J SMPTE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,2,105–129,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""C. David Miller"",""Arthur Scharf""]",10.5594-J01106,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 2, February 1953)","Isotransport Camera for 100,000 Frames per Second",Journal Article,10.5594/J01106,https://doi.org/10.5594/J01106,1953-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,"A detailed description is given of the theory, construction and application of a new type of Isotransport camera using the rotating drum principle and designed to provide a potential repetition rate up to 100,000 frames/sec. It is expected that this camera will be of particular interest to organizations whose need for equipment in the higher speed range does not justify the investment required to provide a permanent installatin.",J SMPTE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,2,130–144,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""Morton Sultanoff""]",10.5594-J01107,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 2, February 1953)",Photographic Instrumentation in the Study of Explosive Reactions,Journal Article,10.5594/J01107,https://doi.org/10.5594/J01107,1953-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,"A brief description of explosive reactions is presented to acquaint the reader with the problems which arise in the study of explosions by photographic techniques. Optical and electronic equipment, designed to produce exposure times approaching 10-9 sec, is discussed from the standpoint of light-gathering power, exposure time and cost. Three basic types of cameras (streak, single short-duration exposure, and very-high-speed motion picture) are described, and examples of typical photographs are presented.",J SMPTE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,2,145–165,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""L. L. Pourciau""]",10.5594-J01108,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 2, February 1953)",Television Camera Equipment of Advanced Design,Journal Article,10.5594/J01108,https://doi.org/10.5594/J01108,1953-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,"The servo circuits and mechanical design features of a television camera chain are described. The chain, in order to achieve flexibility and ease of operation, features remote control of lens selection and focus. Centralized functional controls are grouped together for operating convenience. The equipment is compact, light in weight and sturdy for field use, yet meets the' high performance standards required in the studio.",J SMPTE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,2,166–180,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""Leonard A. Herzig""]",10.5594-J01109,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 2, February 1953)",Splicing Motion Picture Safety Film without Cements or Adhesives,Journal Article,10.5594/J01109,https://doi.org/10.5594/J01109,1953-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,"A method and apparatus for butt-weld splicing motion picture film, not requiring the usual scraping or cements, are described. The principle is based on a combination of a controlled heat and cooling gradient applied under pressure within a given time cycle, and producing a homogeneous splice. Properties of the film are not affected, as the film is automatically preplasticized prior to splicing. The method may be used for all types of safety film.",J SMPTE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,2,181–188,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J01110,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 2, February 1953)",ASA Photographic Standards Board (PSB),Journal Article,10.5594/J01110,https://doi.org/10.5594/J01110,1953-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPTE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,2,188–188,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J01111,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 2, February 1953)",Proposed American Standard PH22.75 A and B Windings of 16mm Single-Perforated Film,Journal Article,10.5594/J01111,https://doi.org/10.5594/J01111,1953-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPTE,research-article,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,2,188–189,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J01112,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 2, February 1953)",SMPTE - Exhibitor Conference on 3-D,Journal Article,10.5594/J01112,https://doi.org/10.5594/J01112,1953-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPTE,other,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,2,190–192,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J01113,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 2, February 1953)","73d Convention, Los Angeles Statler, April 27 – May 1",Journal Article,10.5594/J01113,https://doi.org/10.5594/J01113,1953-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPTE,other,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,2,193–193,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J01114,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 2, February 1953)",Board of Governors Meeting,Journal Article,10.5594/J01114,https://doi.org/10.5594/J01114,1953-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPTE,other,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,2,193–195,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J01115,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 2, February 1953)",Pacific Coast Section Meeting,Journal Article,10.5594/J01115,https://doi.org/10.5594/J01115,1953-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPTE,other,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,2,195–195,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J01116,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 2, February 1953)",Central Section Meeting,Journal Article,10.5594/J01116,https://doi.org/10.5594/J01116,1953-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPTE,other,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,2,196–196,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J01117,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 2, February 1953)",Magnetic Striping,Journal Article,10.5594/J01117,https://doi.org/10.5594/J01117,1953-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPTE,other,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,2,196–197,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J01118,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 2, February 1953)",Current Literature,Journal Article,10.5594/J01118,https://doi.org/10.5594/J01118,1953-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPTE,other,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,2,197–198,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J01119,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 2, February 1953)",Book Review,Journal Article,10.5594/J01119,https://doi.org/10.5594/J01119,1953-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPTE,book-review,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,2,198–199,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,10.5594-J01120,"Journal of the Society of Motion Picture and Television Engineers ( Volume: 60, Issue: 2, February 1953)",New Members,Journal Article,10.5594/J01120,https://doi.org/10.5594/J01120,1953-02-01,SMPTE,undefined,true,undefined,false,Active,undefined,undefined,J SMPTE,other,"Society of Motion Picture and Television Engineers, Inc.",1953,0898-042X,2,200–201,"White Plains, NY",60,,null,null,null,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"{""print"":""0898-042X""}",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
